County,State,GEO_ID,Total Population,Minority Population,ratio_income_poverty (above 200% FPL),Total Bachelors Degree,Est Speak English Less than Well,Per Capita Income,Est Civilians Insured,Est Percent Civilians Insured,Percent Households without Vehicle,Household Level - More People than Rooms (%)
Washington County,Mississippi,0500000US28151,47086,34989,19129.0,3476,421,19884.0,38131,81.8,0.13273949396141865,0.005355483906224384
Perry County,Mississippi,0500000US28111,12028,2553,6533.0,694,0,21611.0,10119,84.9,0.060267367959675654,0.015340784571553802
Choctaw County,Mississippi,0500000US28019,8321,2690,4479.0,625,0,20589.0,7501,91.5,0.07680151706700379,0.0060050568900126425
Itawamba County,Mississippi,0500000US28057,23480,2134,12379.0,1337,45,20629.0,20610,88.6,0.03870893636572479,0.011371467953135768
Carroll County,Mississippi,0500000US28015,10129,3606,6450.0,692,12,22567.0,9122,91.6,0.047293603061782395,0.03089119737561509
Grenada County,Mississippi,0500000US28043,21278,9542,11057.0,1784,39,21668.0,18401,87.9,0.08122568093385214,0.002188715953307393
Jefferson County,Mississippi,0500000US28063,7346,6367,2309.0,272,23,13374.0,5713,83.1,0.12371541501976284,0.030039525691699605
Greene County,Mississippi,0500000US28041,13714,3660,7089.0,612,31,17453.0,8878,87.0,0.029242569511025888,0.02900287631831256
Marshall County,Mississippi,0500000US28093,35787,18130,19604.0,2454,426,21352.0,29135,84.6,0.05315894141043292,0.0052776502983019734
Quitman County,Mississippi,0500000US28119,7372,5345,2359.0,378,13,15353.0,5858,81.3,0.137152209492635,0.02225859247135843
Bolivar County,Mississippi,0500000US28011,32592,21789,12555.0,2978,242,17713.0,27240,85.4,0.12805329385640266,0.00542807796693807
Lamar County,Mississippi,0500000US28073,61223,14460,39833.0,8948,420,28934.0,53062,87.7,0.050105793904470355,0.009003736550668528
Lee County,Mississippi,0500000US28081,84915,27536,51598.0,8570,946,25467.0,74198,88.4,0.06102209687916447,0.006291257321721883
Pike County,Mississippi,0500000US28113,39737,22042,16855.0,2600,483,17954.0,33488,85.7,0.08810302534750614,0.008449168710820387
Tallahatchie County,Mississippi,0500000US28135,14361,9279,4343.0,761,343,14943.0,9806,88.8,0.10580766517752174,0.020691276745826475
Smith County,Mississippi,0500000US28129,16063,3881,9249.0,730,56,23164.0,14134,88.5,0.05330381471389646,0.009196185286103543
Stone County,Mississippi,0500000US28131,18375,4002,9503.0,1201,20,21931.0,15385,86.6,0.032925835370823144,0.03732681336593317
Warren County,Mississippi,0500000US28149,47075,24216,26043.0,4416,233,23793.0,40586,87.2,0.07716082276457423,0.010550996483001172
Clarke County,Mississippi,0500000US28023,15928,5815,9259.0,871,0,22422.0,14395,90.7,0.056088207094918505,0.006871204857782039
Kemper County,Mississippi,0500000US28069,10107,6536,3184.0,461,0,15518.0,8382,86.7,0.11509433962264151,0.01509433962264151
Montgomery County,Mississippi,0500000US28097,10198,4800,5048.0,1021,26,22913.0,9139,90.7,0.061268672872916215,0.0077938947824204375
Oktibbeha County,Mississippi,0500000US28105,49481,20943,22000.0,5411,284,22136.0,43894,89.3,0.06055294849324362,0.009328885622208401
Pearl River County,Mississippi,0500000US28109,55149,8808,34020.0,4119,352,23135.0,46659,86.0,0.04206823438704703,0.011468774094063224
Leake County,Mississippi,0500000US28079,22870,11116,9997.0,1200,453,17960.0,18679,84.2,0.08827130264446621,0.021547502448579822
Noxubee County,Mississippi,0500000US28103,10828,7888,4577.0,675,10,17637.0,8960,84.3,0.1236318407960199,0.023134328358208955
Neshoba County,Mississippi,0500000US28099,29376,11703,14942.0,1467,195,19641.0,25430,88.0,0.08140947752126367,0.0366389382185251
Rankin County,Mississippi,0500000US28121,151240,36227,106751.0,19045,1605,29874.0,133064,91.2,0.022214227898192284,0.012555085889018797
Tate County,Mississippi,0500000US28137,28493,9585,15447.0,2268,298,23542.0,24698,88.1,0.05222135619641465,0.02396726422447389
Lawrence County,Mississippi,0500000US28077,12630,4371,7333.0,761,21,21809.0,10894,86.3,0.04882119757980388,0.02211558522845817
Panola County,Mississippi,0500000US28107,34243,17598,17256.0,2099,324,19972.0,29636,87.1,0.06515626255322568,0.011649393428135294
Yalobusha County,Mississippi,0500000US28161,12421,5201,6948.0,894,0,21140.0,10633,86.9,0.07440418523541949,0.0052315442743654334
Chickasaw County,Mississippi,0500000US28017,17279,8216,7988.0,1054,183,19556.0,14541,86.0,0.09165888577653283,0.017429193899782137
Copiah County,Mississippi,0500000US28029,28721,15674,14503.0,1963,335,19434.0,24375,85.3,0.07398940039488724,0.01818559700717032
George County,Mississippi,0500000US28039,23710,2525,13732.0,1120,211,21105.0,19621,84.6,0.05066558000543331,0.015620755229557186
Hinds County,Mississippi,0500000US28049,241774,179645,130135.0,26370,2060,23114.0,209470,87.6,0.07770700636942675,0.00960487007496759
Newton County,Mississippi,0500000US28101,21524,8088,10551.0,1739,148,21600.0,18948,88.6,0.056204924148221834,0.01330514797314101
Union County,Mississippi,0500000US28145,28356,5669,15877.0,1695,479,20088.0,24887,88.6,0.05527082705255753,0.006532006833484072
Sharkey County,Mississippi,0500000US28125,4511,3379,1382.0,425,0,17877.0,3544,80.4,0.14586894586894586,0.017663817663817662
Tippah County,Mississippi,0500000US28139,21990,4689,12385.0,1477,289,20180.0,19305,88.2,0.05323813102843543,0.003632719528999123
Forrest County,Mississippi,0500000US28035,75517,30616,38590.0,7610,688,22042.0,64299,85.8,0.0759462062569115,0.004352013698141476
Hancock County,Mississippi,0500000US28045,46653,5944,29594.0,4902,232,26659.0,39748,85.6,0.05574056047953276,0.009529176699626005
Lafayette County,Mississippi,0500000US28071,53459,15114,28953.0,7389,454,26154.0,48249,91.1,0.04710876430087488,0.004917947921519904
Issaquena County,Mississippi,0500000US28055,1328,807,398.0,29,2,18942.0,943,89.6,0.13429752066115702,0.01652892561983471
Lowndes County,Mississippi,0500000US28087,59437,27568,33319.0,5757,456,24499.0,50159,87.3,0.06899129364172017,0.006991469527746021
Leflore County,Mississippi,0500000US28083,29804,22595,10662.0,1928,307,16861.0,24641,84.2,0.13262910798122066,0.00528169014084507
Wilkinson County,Mississippi,0500000US28157,8990,6473,3071.0,540,0,13231.0,6738,85.2,0.11387163561076605,0.0
Harrison County,Mississippi,0500000US28047,202626,64537,113863.0,18856,4067,24445.0,164130,84.2,0.06371809340248279,0.010309016902730051
Jefferson Davis County,Mississippi,0500000US28065,11495,7135,4736.0,610,0,19233.0,9366,82.3,0.09072122339326306,0.020252118206240958
Lincoln County,Mississippi,0500000US28085,34432,10927,19556.0,2281,28,21892.0,29435,86.9,0.06197863880876277,0.00997895065097061
