,County_x,State_x,GEO_ID,Total Population,Minority Population,ratio_income_poverty (above 200% FPL),Total Bachelors Degree,Est Speak English Less than Well,Per Capita Income,Est Civilians Insured,Est Percent Civilians Insured,Percent Households without Vehicle,Household Level - More People than Rooms (%),acs_county_code,FIPS,State_y,County_y,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Quartile,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Quartile.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Quartile.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Quartile.3,Unreliable,% Low Birthweight,95% CI - Low.4,95% CI - High.4,Quartile.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Quartile.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Quartile.6,Food Environment Index,Quartile.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Quartile.8,% With Access to Exercise Opportunities,Quartile.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Quartile.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Quartile.11,# Chlamydia Cases,Chlamydia Rate,Quartile.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Quartile.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Quartile.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Quartile.15,# Dentists,Dentist Rate,Dentist Ratio,Quartile.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Quartile.17,Preventable Hospitalization Rate,Quartile.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Quartile.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Quartile.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Quartile.21,# Some College,Population,% Some College,95% CI - Low.12,95% CI - High.12,Quartile.22,# Unemployed,Labor Force,% Unemployed,Quartile.23,% Children in Poverty,95% CI - Low.13,95% CI - High.13,Quartile.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Quartile.25,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low.14,95% CI - High.14,Quartile.26,# Associations,Social Association Rate,Quartile.27,Annual Average Violent Crimes,Violent Crime Rate,Quartile.28,# Injury Deaths,Injury Death Rate,95% CI - Low.15,95% CI - High.15,Quartile.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Quartile.30,Presence of Water Violation,Quartile.31,% Severe Housing Problems,95% CI - Low.16,95% CI - High.16,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Quartile.32,% Drive Alone to Work,95% CI - Low.17,95% CI - High.17,Quartile.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.18,95% CI - High.18,Quartile.34,Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,new_FIPS,state_code
0,Washington County,Mississippi,0500000US28151,47086,34989,19129.0,3476,421,19884.0,38131,81.8,0.13273949396141865,0.005355483906224384,28151,28151,Mississippi,Washington,1042.0,14715.0,13418.0,16012.0,4.0,,,,,,,16157.0,14583.0,17730.0,,,,11069.0,8794.0,13345.0,29,29,30,4.0,5.1,5.0,5.3,4.0,4.9,4.7,5.1,3.0,,14.0,13.0,15.0,4.0,,,,,,,15.0,14.0,17.0,,,,8.0,6.0,10.0,21,20,21,3.0,43,39.0,48.0,4.0,3.7,4.0,36,31.0,41.0,3.0,77.0,1.0,11,10,11,1.0,8.0,55.0,15.0,8.0,22.0,2.0,640.0,1384.7,4.0,58.0,54.0,63.0,4.0,,,,,,,64.0,59.0,69.0,,,,36.0,28.0,46.0,6174.0,16.0,14.0,18.0,3.0,20.0,43.0,2311:1,2.0,19.0,42.0,2372:1,1.0,63.0,140.0,715:1,1.0,7030.0,3.0,,,8263.0,,5742.0,37.0,2.0,,27.0,37.0,,38.0,37.0,3.0,,54.0,28.0,,48.0,536.0,77.0,4.0,5864,11080,53,48.0,58.0,3.0,1180.0,16727.0,7.1,4.0,52.0,42.0,62.0,4.0,,,55.0,25.0,27.0,68218.0,12132.0,5.6,3.0,8266.0,12311.0,67.0,61.0,73.0,4.0,71,15.4,1.0,132.0,283.0,4.0,243.0,103.0,90.0,116.0,3.0,,,,,,,99.0,84.0,114.0,,,,120.0,94.0,151.0,10.1,3.0,Yes,4.0,19,17,21,17.0,15.0,20.0,3.0,2.0,3.0,0.0,0.0,1.0,4.0,86.0,84.0,89.0,3.0,,,,,,,86.0,83.0,90.0,,,,90.0,86.0,93.0,16833.0,16.0,13.0,18.0,1.0,11/25/2020,2/1/2020,11/21/2020,MS,Washington County,28151,Micropolitan,113,640,28151,28
1,Itawamba County,Mississippi,0500000US28057,23480,2134,12379.0,1337,45,20629.0,20610,88.6,0.03870893636572479,0.011371467953135768,28057,28057,Mississippi,Itawamba,425.0,9619.0,8248.0,10990.0,1.0,,,,,,,,,,,,,,,,21,20,22,1.0,4.5,4.3,4.7,2.0,4.5,4.3,4.8,2.0,,10.0,9.0,11.0,1.0,,,,,,,15.0,8.0,21.0,,,,10.0,8.0,11.0,19,18,20,2.0,34,27.0,41.0,1.0,7.7,1.0,30,25.0,37.0,2.0,49.0,2.0,15,14,16,4.0,4.0,39.0,10.0,4.0,19.0,1.0,,,3.0,38.0,33.0,42.0,2.0,,,,,,,18.0,10.0,30.0,,,,41.0,35.0,46.0,2839.0,15.0,13.0,17.0,2.0,4.0,17.0,5877:1,4.0,4.0,17.0,5879:1,4.0,4.0,17.0,5879:1,4.0,5832.0,2.0,,,4085.0,,5677.0,36.0,2.0,,,33.0,,36.0,51.0,1.0,,,41.0,,52.0,247.0,84.0,2.0,2973,5583,53,46.0,61.0,2.0,419.0,10302.0,4.1,1.0,18.0,11.0,24.0,1.0,,,26.0,,17.0,78770.0,18983.0,4.1,1.0,1422.0,5082.0,28.0,22.0,34.0,1.0,27,11.5,2.0,25.0,107.0,1.0,109.0,93.0,75.0,110.0,2.0,,,,,,,,,,,,,,,,10.2,4.0,No,1.0,12,9,15,9.0,7.0,12.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,82.0,78.0,86.0,2.0,,,,,,,,,,,,,,,,9340.0,39.0,32.0,45.0,3.0,11/25/2020,2/1/2020,11/21/2020,MS,Itawamba County,28057,Micropolitan,10,147,28057,28
2,Grenada County,Mississippi,0500000US28043,21278,9542,11057.0,1784,39,21668.0,18401,87.9,0.08122568093385214,0.002188715953307393,28043,28043,Mississippi,Grenada,507.0,15062.0,13109.0,17016.0,4.0,,,,,,,19469.0,16117.0,22822.0,,,,11952.0,9593.0,14311.0,25,24,26,3.0,4.6,4.5,4.8,2.0,4.8,4.6,5.0,3.0,,12.0,11.0,13.0,2.0,,,,,,,14.0,12.0,16.0,,,,10.0,8.0,12.0,20,19,20,3.0,42,35.0,49.0,4.0,6.2,2.0,33,27.0,39.0,2.0,34.0,3.0,13,12,13,2.0,3.0,36.0,8.0,2.0,18.0,1.0,162.0,768.2,3.0,45.0,39.0,52.0,3.0,,,,,,,54.0,45.0,64.0,,,,36.0,29.0,45.0,2504.0,15.0,13.0,17.0,2.0,10.0,47.0,2109:1,2.0,10.0,47.0,2106:1,1.0,11.0,52.0,1914:1,3.0,3860.0,1.0,,,4373.0,,3591.0,34.0,3.0,,,32.0,,35.0,39.0,2.0,,,28.0,,44.0,262.0,83.0,3.0,2797,5108,55,,,2.0,410.0,9591.0,4.3,1.0,34.0,25.0,43.0,3.0,,,50.0,,31.0,80485.0,15928.0,5.1,2.0,2607.0,5054.0,52.0,42.0,62.0,3.0,30,14.2,1.0,,,1.0,106.0,99.0,80.0,118.0,3.0,,,,,,,92.0,66.0,124.0,,,,109.0,84.0,139.0,9.5,1.0,Yes,4.0,17,13,20,14.0,10.0,19.0,2.0,1.0,3.0,0.0,0.0,1.0,3.0,86.0,81.0,91.0,2.0,,,,,,,87.0,80.0,94.0,,,,89.0,87.0,92.0,8107.0,17.0,12.0,22.0,1.0,11/25/2020,2/1/2020,11/21/2020,MS,Grenada County,28043,Micropolitan,24,253,28043,28
3,Marshall County,Mississippi,0500000US28093,35787,18130,19604.0,2454,426,21352.0,29135,84.6,0.05315894141043292,0.005277650298301973,28093,28093,Mississippi,Marshall,691.0,11740.0,10390.0,13090.0,3.0,,,,,,,11300.0,9519.0,13081.0,,,,13169.0,10858.0,15479.0,24,23,25,2.0,4.6,4.4,4.7,2.0,4.4,4.2,4.6,1.0,,12.0,10.0,13.0,2.0,,,,,,,15.0,14.0,17.0,,,,8.0,7.0,10.0,19,18,19,2.0,44,37.0,51.0,4.0,6.6,2.0,37,30.0,46.0,3.0,35.0,3.0,14,13,14,3.0,12.0,82.0,15.0,10.0,21.0,2.0,252.0,707.5,2.0,37.0,33.0,41.0,2.0,,,,,,,31.0,26.0,36.0,27.0,13.0,49.0,50.0,42.0,58.0,3978.0,14.0,12.0,16.0,1.0,4.0,11.0,8905:1,4.0,5.0,14.0,7090:1,4.0,10.0,28.0,3545:1,3.0,5606.0,2.0,,,6485.0,,5225.0,32.0,4.0,,,35.0,,31.0,42.0,2.0,,,31.0,41.0,47.0,297.0,81.0,3.0,3485,8590,41,34.0,47.0,4.0,730.0,14591.0,5.0,2.0,33.0,23.0,43.0,3.0,,,41.0,46.0,14.0,87904.0,18986.0,4.6,1.0,3417.0,7702.0,44.0,34.0,54.0,3.0,29,8.1,4.0,133.0,374.0,4.0,177.0,99.0,84.0,113.0,3.0,,,,,,,79.0,62.0,101.0,,,,120.0,97.0,143.0,10.0,3.0,No,1.0,15,12,18,13.0,10.0,16.0,1.0,0.0,2.0,1.0,0.0,3.0,3.0,86.0,82.0,90.0,3.0,,,,,,,85.0,78.0,91.0,,,,80.0,76.0,85.0,13883.0,50.0,44.0,56.0,4.0,11/25/2020,2/1/2020,11/21/2020,MS,Marshall County,28093,Large fringe metro,20,272,28093,28
4,Bolivar County,Mississippi,0500000US28011,32592,21789,12555.0,2978,242,17713.0,27240,85.4,0.12805329385640266,0.00542807796693807,28011,28011,Mississippi,Bolivar,722.0,12420.0,11070.0,13769.0,3.0,,,,,,,14557.0,12748.0,16366.0,,,,8521.0,6542.0,10501.0,28,27,29,3.0,5.3,5.1,5.5,4.0,5.1,4.9,5.3,4.0,,13.0,12.0,14.0,3.0,,,,,,,15.0,14.0,16.0,,,,9.0,8.0,11.0,25,24,26,4.0,39,33.0,45.0,3.0,3.4,4.0,33,28.0,38.0,3.0,39.0,3.0,12,11,12,1.0,5.0,38.0,13.0,6.0,22.0,2.0,256.0,801.4,3.0,43.0,39.0,48.0,3.0,,,,,,,55.0,49.0,61.0,,,,20.0,15.0,26.0,3929.0,16.0,14.0,18.0,3.0,16.0,50.0,1997:1,2.0,13.0,41.0,2410:1,1.0,18.0,57.0,1741:1,3.0,8374.0,4.0,,,9942.0,9807.0,7591.0,33.0,3.0,,,32.0,,35.0,41.0,2.0,,58.0,33.0,31.0,49.0,422.0,82.0,3.0,4859,8195,59,53.0,66.0,1.0,764.0,12472.0,6.1,4.0,39.0,28.0,50.0,4.0,,,55.0,16.0,28.0,69374.0,10307.0,6.7,4.0,5062.0,8067.0,63.0,56.0,70.0,4.0,48,15.0,1.0,,,1.0,124.0,76.0,63.0,89.0,1.0,,,,,,,72.0,57.0,90.0,,,,86.0,63.0,115.0,10.3,4.0,No,1.0,20,17,23,17.0,14.0,19.0,3.0,2.0,4.0,1.0,0.0,1.0,4.0,83.0,81.0,86.0,2.0,,,,,,,84.0,80.0,88.0,,,,83.0,79.0,87.0,10590.0,24.0,20.0,28.0,1.0,11/25/2020,2/1/2020,11/21/2020,MS,Bolivar County,28011,Micropolitan,40,306,28011,28
5,Lamar County,Mississippi,0500000US28073,61223,14460,39833.0,8948,420,28934.0,53062,87.7,0.05010579390447036,0.009003736550668528,28073,28073,Mississippi,Lamar,661.0,7007.0,6252.0,7763.0,1.0,,,,,,,7796.0,6115.0,9478.0,,,,7104.0,6202.0,8006.0,18,18,19,1.0,3.8,3.7,4.0,1.0,4.3,4.1,4.5,1.0,,10.0,9.0,11.0,1.0,,,,,,,16.0,15.0,18.0,10.0,6.0,14.0,8.0,7.0,9.0,17,16,17,1.0,34,29.0,40.0,1.0,7.6,1.0,26,21.0,31.0,1.0,52.0,2.0,18,17,18,4.0,6.0,40.0,15.0,8.0,24.0,2.0,235.0,382.9,1.0,31.0,28.0,34.0,1.0,,,,,,,33.0,27.0,39.0,23.0,11.0,42.0,31.0,28.0,35.0,6936.0,13.0,11.0,15.0,1.0,84.0,137.0,731:1,1.0,65.0,104.0,961:1,1.0,24.0,38.0,2602:1,3.0,6893.0,3.0,,,5649.0,,6982.0,45.0,1.0,,,45.0,,45.0,50.0,1.0,,,42.0,36.0,51.0,721.0,92.0,1.0,12909,17950,72,65.0,78.0,1.0,1109.0,30510.0,3.6,1.0,18.0,13.0,24.0,1.0,,38.0,41.0,9.0,11.0,109029.0,21297.0,5.1,2.0,4406.0,15370.0,29.0,24.0,34.0,1.0,59,9.6,4.0,33.0,58.0,1.0,181.0,59.0,51.0,68.0,1.0,,,,,,,42.0,28.0,62.0,,,,67.0,57.0,78.0,9.7,2.0,No,1.0,14,11,16,12.0,9.0,14.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,86.0,83.0,89.0,3.0,,,,,,,83.0,74.0,92.0,,,,86.0,83.0,89.0,27735.0,29.0,25.0,32.0,2.0,11/25/2020,2/1/2020,11/21/2020,MS,Lamar County,28073,Small metro,72,473,28073,28
6,Lee County,Mississippi,0500000US28081,84915,27536,51598.0,8570,946,25467.0,74198,88.4,0.061022096879164475,0.006291257321721882,28081,28081,Mississippi,Lee,1357.0,9676.0,8932.0,10421.0,1.0,,,,,,,11622.0,10181.0,13064.0,,,,8968.0,8081.0,9855.0,21,20,22,1.0,4.1,4.0,4.3,1.0,4.4,4.2,4.6,1.0,,12.0,11.0,12.0,2.0,,,,15.0,8.0,22.0,18.0,17.0,19.0,9.0,6.0,12.0,8.0,7.0,9.0,18,18,19,2.0,31,26.0,36.0,1.0,6.9,2.0,29,25.0,34.0,1.0,53.0,2.0,14,13,14,3.0,18.0,94.0,19.0,14.0,25.0,3.0,603.0,710.0,3.0,43.0,40.0,46.0,3.0,,,,,,,58.0,53.0,64.0,42.0,25.0,64.0,34.0,31.0,38.0,10153.0,14.0,12.0,16.0,1.0,83.0,98.0,1023:1,1.0,56.0,66.0,1521:1,1.0,458.0,538.0,186:1,1.0,4765.0,1.0,,,4485.0,,4920.0,40.0,2.0,,,42.0,27.0,40.0,54.0,1.0,,53.0,42.0,51.0,56.0,1153.0,84.0,2.0,14879,22279,67,63.0,71.0,1.0,1566.0,40297.0,3.9,1.0,20.0,14.0,26.0,1.0,,,41.0,25.0,11.0,92848.0,19109.0,4.9,2.0,8436.0,21412.0,39.0,34.0,45.0,2.0,115,13.5,2.0,,,1.0,361.0,85.0,76.0,93.0,2.0,,,,,,,62.0,49.0,78.0,,,,98.0,87.0,110.0,10.5,4.0,No,1.0,16,14,18,13.0,11.0,15.0,3.0,2.0,4.0,1.0,0.0,1.0,3.0,88.0,86.0,89.0,4.0,,,,,,,88.0,85.0,90.0,,,,88.0,87.0,89.0,37701.0,21.0,19.0,24.0,1.0,11/25/2020,2/1/2020,11/21/2020,MS,Lee County,28081,Micropolitan,269,1914,28081,28
7,Pike County,Mississippi,0500000US28113,39737,22042,16855.0,2600,483,17954.0,33488,85.7,0.08810302534750614,0.008449168710820387,28113,28113,Mississippi,Pike,836.0,12688.0,11450.0,13927.0,4.0,,,,,,,14167.0,12423.0,15911.0,,,,11596.0,9698.0,13493.0,28,28,29,4.0,5.2,5.1,5.4,4.0,5.0,4.9,5.2,4.0,,13.0,12.0,14.0,3.0,,,,,,,15.0,14.0,17.0,,,,9.0,7.0,10.0,23,22,23,4.0,34,29.0,39.0,1.0,5.4,3.0,37,32.0,43.0,3.0,52.0,2.0,13,13,14,2.0,14.0,63.0,22.0,16.0,29.0,3.0,324.0,820.9,3.0,46.0,41.0,50.0,3.0,,,,,,,52.0,46.0,58.0,,,,37.0,31.0,44.0,4853.0,15.0,13.0,17.0,2.0,18.0,46.0,2193:1,2.0,22.0,56.0,1798:1,1.0,158.0,399.0,250:1,1.0,6405.0,2.0,,,8439.0,,5732.0,33.0,3.0,,,32.0,,34.0,34.0,3.0,,,21.0,50.0,40.0,512.0,80.0,3.0,4655,9181,51,44.0,57.0,3.0,833.0,14572.0,5.7,3.0,46.0,38.0,55.0,4.0,,,68.0,19.0,13.0,69890.0,9696.0,7.2,4.0,6277.0,10314.0,61.0,54.0,67.0,4.0,69,17.5,1.0,,,1.0,165.0,83.0,70.0,96.0,2.0,,,,,,,73.0,58.0,91.0,,,,99.0,79.0,122.0,9.2,1.0,No,1.0,17,15,20,16.0,13.0,18.0,2.0,1.0,3.0,1.0,0.0,2.0,3.0,87.0,84.0,90.0,3.0,,,,,,,86.0,80.0,91.0,,,,91.0,89.0,93.0,13683.0,25.0,20.0,29.0,1.0,11/25/2020,2/1/2020,11/21/2020,MS,Pike County,28113,Micropolitan,57,484,28113,28
8,Warren County,Mississippi,0500000US28149,47075,24216,26043.0,4416,233,23793.0,40586,87.2,0.07716082276457423,0.010550996483001172,28149,28149,Mississippi,Warren,926.0,12175.0,10995.0,13356.0,3.0,,,,,,,13659.0,11965.0,15352.0,,,,10933.0,9192.0,12675.0,25,24,25,3.0,4.7,4.5,4.9,2.0,4.5,4.4,4.7,2.0,,13.0,12.0,14.0,3.0,,,,,,,15.0,14.0,17.0,,,,10.0,8.0,11.0,20,20,21,3.0,36,29.0,43.0,2.0,5.7,3.0,35,28.0,43.0,3.0,55.0,2.0,13,13,14,2.0,8.0,46.0,17.0,10.0,26.0,2.0,468.0,1000.7,4.0,50.0,45.0,54.0,4.0,,,,,,,61.0,55.0,68.0,,,,36.0,30.0,41.0,5484.0,14.0,12.0,16.0,1.0,26.0,56.0,1799:1,1.0,29.0,63.0,1592:1,1.0,218.0,472.0,212:1,1.0,6545.0,3.0,,,7761.0,,6018.0,39.0,2.0,,,39.0,,40.0,40.0,2.0,,46.0,26.0,31.0,46.0,623.0,72.0,4.0,6976,11496,61,55.0,66.0,1.0,1113.0,20405.0,5.5,3.0,31.0,21.0,41.0,2.0,,,45.0,12.0,6.0,90634.0,16071.0,5.6,3.0,5137.0,11463.0,45.0,39.0,51.0,3.0,65,13.9,2.0,164.0,344.0,4.0,203.0,86.0,74.0,98.0,2.0,,,,,,,76.0,61.0,94.0,,,,98.0,80.0,116.0,9.8,2.0,No,1.0,18,16,21,16.0,14.0,18.0,3.0,2.0,3.0,1.0,0.0,1.0,4.0,88.0,85.0,91.0,3.0,,,,,,,88.0,83.0,93.0,,,,87.0,85.0,90.0,19123.0,18.0,15.0,21.0,1.0,11/25/2020,2/1/2020,11/21/2020,MS,Warren County,28149,Micropolitan,78,535,28149,28
9,Clarke County,Mississippi,0500000US28023,15928,5815,9259.0,871,0,22422.0,14395,90.7,0.056088207094918505,0.006871204857782039,28023,28023,Mississippi,Clarke,339.0,12226.0,10137.0,14315.0,3.0,,,,,,,15577.0,11735.0,19420.0,,,,10656.0,8116.0,13196.0,22,21,22,1.0,4.5,4.3,4.6,2.0,4.5,4.3,4.6,1.0,,13.0,11.0,15.0,3.0,,,,,,,19.0,16.0,23.0,,,,10.0,8.0,12.0,18,17,18,1.0,29,22.0,36.0,1.0,7.0,2.0,33,26.0,41.0,3.0,24.0,4.0,13,13,14,3.0,6.0,25.0,24.0,14.0,35.0,3.0,79.0,499.1,2.0,40.0,33.0,47.0,2.0,,,,,,,42.0,33.0,54.0,,,,39.0,30.0,49.0,1848.0,15.0,13.0,17.0,2.0,5.0,32.0,3166:1,3.0,3.0,19.0,5201:1,4.0,4.0,26.0,3901:1,3.0,7843.0,4.0,,,8112.0,,7830.0,42.0,1.0,,,38.0,,43.0,29.0,4.0,,,20.0,,31.0,201.0,83.0,3.0,1916,3602,53,,,2.0,334.0,5938.0,5.6,3.0,33.0,23.0,43.0,3.0,,,53.0,,16.0,82853.0,14833.0,5.6,3.0,1428.0,3601.0,40.0,30.0,49.0,2.0,27,17.1,1.0,,,1.0,86.0,108.0,86.0,133.0,4.0,,,,,,,102.0,67.0,147.0,,,,114.0,87.0,148.0,9.9,2.0,No,1.0,12,9,15,11.0,8.0,14.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,86.0,81.0,91.0,3.0,,,,,,,86.0,73.0,98.0,,,,85.0,76.0,95.0,6148.0,45.0,38.0,53.0,4.0,11/25/2020,2/1/2020,11/21/2020,MS,Clarke County,28023,Micropolitan,18,120,28023,28
