GEO_ID,NAME,B25014_001E,B25014_001M,B25014_002E,B25014_002M,B25014_003E,B25014_003M,B25014_004E,B25014_004M,B25014_005E,B25014_005M,B25014_006E,B25014_006M,B25014_007E,B25014_007M,B25014_008E,B25014_008M,B25014_009E,B25014_009M,B25014_010E,B25014_010M,B25014_011E,B25014_011M,B25014_012E,B25014_012M,B25014_013E,B25014_013M
0500000US28151,"Washington County, Mississippi",18299,333,9888,445,7966,376,1824,235,78,41,20,20,0,27,8411,475,5114,422,2838,327,390,110,29,23,40,36
0500000US28111,"Perry County, Mississippi",4563,209,3804,216,2609,208,1125,196,66,50,4,6,0,20,759,159,399,117,314,116,40,27,6,9,0,20
0500000US28019,"Choctaw County, Mississippi",3164,150,2417,175,1952,182,446,106,19,29,0,18,0,18,747,129,578,132,99,51,70,46,0,18,0,18
0500000US28057,"Itawamba County, Mississippi",8706,254,6774,278,5311,284,1364,210,80,57,19,22,0,24,1932,236,1284,199,618,175,20,31,10,16,0,24
0500000US28015,"Carroll County, Mississippi",3658,252,2955,295,2172,265,670,214,66,57,29,46,18,31,703,233,538,207,144,102,21,37,0,20,0,20
0500000US28043,"Grenada County, Mississippi",8224,372,5478,326,4425,332,1035,261,18,29,0,24,0,24,2746,306,1526,264,1047,217,144,84,0,24,29,46
0500000US28063,"Jefferson County, Mississippi",2530,221,1689,211,1213,195,400,149,76,62,0,18,0,18,841,178,693,175,136,77,12,14,0,18,0,18
0500000US28041,"Greene County, Mississippi",4172,364,3538,352,2481,293,936,238,42,49,79,107,0,20,634,157,505,145,105,66,24,20,0,20,0,20
0500000US28093,"Marshall County, Mississippi",13074,355,9933,403,7944,413,1920,344,61,48,0,27,8,13,3141,445,2020,326,970,290,138,112,13,15,0,27
0500000US28119,"Quitman County, Mississippi",3055,109,1772,149,1423,136,281,88,21,16,44,42,3,5,1283,150,837,137,403,93,37,29,0,18,6,10
0500000US28011,"Bolivar County, Mississippi",12159,337,6587,377,5414,373,1107,205,61,40,3,5,2,4,5572,384,3536,352,1901,264,102,51,33,34,0,27
0500000US28073,"Lamar County, Mississippi",22213,426,15376,547,12208,483,2968,378,176,120,24,24,0,30,6837,592,3896,459,2661,472,210,109,70,67,0,30
0500000US28081,"Lee County, Mississippi",32267,513,21392,583,16679,564,4510,387,152,75,43,48,8,13,10875,603,5814,570,3874,512,115,68,536,182,536,211
0500000US28113,"Pike County, Mississippi",14676,436,9867,532,8320,554,1423,225,83,57,41,34,0,27,4809,416,3224,349,1330,277,249,119,2,4,4,7
0500000US28135,"Tallahatchie County, Mississippi",4253,258,3145,228,2336,223,721,189,64,58,22,21,2,3,1108,190,668,148,440,121,0,20,0,20,0,20
0500000US28129,"Smith County, Mississippi",5872,257,4872,245,3788,254,1030,188,54,43,0,20,0,20,1000,200,621,187,356,116,16,13,0,20,7,12
