GEO_ID,NAME,B25044_001E,B25044_001M,B25044_002E,B25044_002M,B25044_003E,B25044_003M,B25044_004E,B25044_004M,B25044_005E,B25044_005M,B25044_006E,B25044_006M,B25044_007E,B25044_007M,B25044_008E,B25044_008M,B25044_009E,B25044_009M,B25044_010E,B25044_010M,B25044_011E,B25044_011M,B25044_012E,B25044_012M,B25044_013E,B25044_013M,B25044_014E,B25044_014M,B25044_015E,B25044_015M
0500000US28151,"Washington County, Mississippi",18299,333,9888,445,755,155,3229,290,3934,305,1370,226,450,146,150,78,8411,475,1674,216,4263,392,2121,324,257,104,96,79,0,27
0500000US28111,"Perry County, Mississippi",4563,209,3804,216,110,51,1115,187,1371,199,766,164,310,94,132,84,759,159,165,71,304,93,176,90,54,42,32,41,28,41
0500000US28019,"Choctaw County, Mississippi",3164,150,2417,175,107,62,687,97,807,166,546,117,188,85,82,49,747,129,136,62,381,123,179,71,43,34,8,11,0,18
0500000US28057,"Itawamba County, Mississippi",8706,254,6774,278,158,81,1686,260,2802,319,1486,259,455,131,187,76,1932,236,179,73,937,176,686,160,130,77,0,24,0,24
0500000US28015,"Carroll County, Mississippi",3658,252,2955,295,75,42,732,160,1247,240,629,191,213,98,59,57,703,233,98,85,193,88,397,185,15,26,0,20,0,20
0500000US28043,"Grenada County, Mississippi",8224,372,5478,326,204,110,1406,264,2177,280,1100,221,351,146,240,129,2746,306,464,170,1302,246,698,199,260,124,22,36,0,24
0500000US28063,"Jefferson County, Mississippi",2530,221,1689,211,92,71,574,175,762,154,183,96,52,46,26,38,841,178,221,109,463,167,123,81,34,52,0,18,0,18
0500000US28041,"Greene County, Mississippi",4172,364,3538,352,53,46,924,248,1377,288,716,252,384,164,84,70,634,157,69,53,241,100,226,116,98,71,0,20,0,20
0500000US28093,"Marshall County, Mississippi",13074,355,9933,403,284,129,2393,383,3913,418,2373,381,700,188,270,131,3141,445,411,194,1414,291,934,247,228,181,154,139,0,27
0500000US28119,"Quitman County, Mississippi",3055,109,1772,149,111,32,582,106,670,111,255,73,145,61,9,9,1283,150,308,106,585,110,311,102,56,41,23,24,0,18
0500000US28011,"Bolivar County, Mississippi",12159,337,6587,377,316,90,1996,252,2928,362,830,154,429,112,88,54,5572,384,1241,192,2583,297,1309,266,355,123,84,51,0,27
0500000US28073,"Lamar County, Mississippi",22213,426,15376,547,381,161,3872,467,6747,505,3175,379,925,190,276,110,6837,592,732,273,3055,530,2276,332,527,191,194,112,53,49
0500000US28081,"Lee County, Mississippi",32267,513,21392,583,554,123,4676,367,9038,590,4956,432,1653,258,515,153,10875,603,1415,256,5082,489,3237,325,860,222,158,93,123,86
0500000US28113,"Pike County, Mississippi",14676,436,9867,532,452,134,2947,344,3577,324,1791,241,809,231,291,97,4809,416,841,231,2537,333,990,235,369,145,55,51,17,23
0500000US28135,"Tallahatchie County, Mississippi",4253,258,3145,228,188,97,743,137,1290,219,617,166,261,103,46,37,1108,190,262,93,458,127,328,107,45,45,15,17,0,20
0500000US28129,"Smith County, Mississippi",5872,257,4872,245,205,94,1241,202,1904,264,1043,196,250,103,229,110,1000,200,108,70,510,156,240,96,68,50,74,83,0,20
0500000US28131,"Stone County, Mississippi",6135,287,4682,301,100,57,1253,314,1879,286,1094,265,234,108,122,76,1453,278,102,80,719,225,487,179,81,54,33,46,31,49
0500000US28149,"Warren County, Mississippi",18766,456,12088,386,490,165,3342,339,4953,400,2067,303,927,231,309,134,6678,510,958,230,3530,426,1782,289,348,140,60,54,0,27
0500000US28023,"Clarke County, Mississippi",6258,213,5096,250,103,55,1330,189,1801,243,1266,220,416,126,180,76,1162,190,248,109,611,150,200,76,73,46,8,9,22,31
0500000US28069,"Kemper County, Mississippi",3710,270,2816,251,105,66,829,216,1067,222,607,181,110,65,98,65,894,207,322,133,365,116,174,105,33,29,0,20,0,20
0500000US28097,"Montgomery County, Mississippi",4619,210,3300,239,162,72,939,183,1154,186,627,138,326,131,92,61,1319,209,121,110,690,187,445,174,48,39,0,20,15,26
0500000US28105,"Oktibbeha County, Mississippi",17687,591,8996,408,335,131,2263,400,3785,384,1965,268,452,135,196,93,8691,543,736,219,3767,439,2836,463,774,235,424,189,154,116
0500000US28109,"Pearl River County, Mississippi",20752,559,16085,565,476,153,4035,505,6659,662,3176,451,1146,222,593,178,4667,535,397,171,2249,406,1592,297,337,153,35,50,57,55
